uid,catalog,number,species,scientificName,age,heightM,girthCm,canopyM,address,grade,lat,lng,coordinateQuality,sourcePage,sourceDocument
姑苏区-沧504,姑苏区,沧504,银杏,Ginkgo biloba L.,649,16.1,183,15.2,孔庙,一级,31.336404,120.589739,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧505,姑苏区,沧505,楸树,Catalpa bungei C. A. Mey,151,10.2,210,7.9,孔庙,三级,31.307858,120.634738,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧506,姑苏区,沧506,楸树,Catalpa bungei C. A. Mey,201,19.2,283,9.5,孔庙,三级,31.28557,120.603466,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧507,姑苏区,沧507,银杏,Ginkgo biloba L.,211,16.2,146,6.9,孔庙,三级,31.286303,120.603435,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧508,姑苏区,沧508,楸树,Catalpa bungei C. A. Mey,121,18.3,306,11.2,孔庙,三级,31.317083,120.633273,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧510,姑苏区,沧510,圆柏,Juniperus chinensis Roxb.,171,8.3,154,2.7,苏州中学,三级,31.338921,120.607343,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧514,姑苏区,沧514,香樟,Camphora officinarum Nees,141,18.3,462,20.5,苏大附一院南区,三级,31.33132,120.59076,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧518,姑苏区,沧518,木樨,Osmanthus fragrans (Thunb.) Lour.,191,7.3,137,5.1,苏州图书馆,三级,31.336315,120.62169,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧519,姑苏区,沧519,香樟,Camphora officinarum Nees,121,21.3,262,19,苏州图书馆,三级,31.307329,120.618239,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧520,姑苏区,沧520,香樟,Camphora officinarum Nees,121,23.4,285,24,苏州图书馆,三级,31.305419,120.604476,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
